iter	Passed	Remaining
146	242	1409
147	243	1403
148	244	1398
149	245	1393
150	247	1388
151	248	1384
152	249	1379
153	250	1374
154	251	1369
155	252	1363
156	253	1358
157	254	1354
158	255	1348
159	255	1343
160	256	1336
161	257	1331
162	258	1326
163	259	1324
164	260	1319
165	261	1315
166	262	1311
167	263	1307
168	264	1302
169	265	1297
170	266	1292
171	267	1287
172	268	1282
173	269	1278
174	270	1274
175	271	1269
176	272	1265
177	273	1261
178	274	1257
179	275	1253
180	276	1249
181	277	1246
182	278	1241
183	279	1237
184	280	1233
185	281	1229
186	281	1225
187	283	1222
188	283	1218
189	284	1214
190	285	1210
191	286	1206
192	287	1202
193	288	1198
194	289	1195
195	290	1192
196	291	1189
197	292	1186
198	293	1182
199	294	1178
200	295	1175
201	296	1171
202	297	1167
203	298	1164
204	299	1161
205	300	1157
206	301	1154
207	302	1150
208	303	1146
209	304	1143
210	305	1140
211	306	1137
212	307	1135
213	308	1131
214	309	1128
215	310	1125
216	311	1122
217	311	1118
218	312	1115
219	313	1112
220	314	1109
221	315	1105
222	316	1102
223	317	1099
224	318	1096
225	319	1094
226	320	1091
227	321	1088
228	322	1085
229	323	1081
230	324	1078
231	325	1075
232	325	1072
233	327	1070
234	328	1067
235	329	1065
236	329	1062
237	330	1059
238	331	1056
239	332	1053
240	333	1050
241	334	1048
242	335	1045
243	336	1043
244	337	1041
245	338	1038
246	339	1035
247	340	1032
248	341	1030
249	342	1027
250	343	1025
251	344	1022
252	345	1020
253	346	1017
254	347	1015
255	348	1012
256	349	1010
257	350	1008
258	351	1006
259	352	1003
260	353	1001
261	354	999
262	355	996
263	356	995
264	357	992
265	358	990
266	359	987
267	360	984
268	361	982
269	362	980
270	363	978
271	364	975
272	365	973
273	366	971
274	367	969
275	368	966
276	369	964
277	370	962
278	371	960
279	372	958
280	373	956
281	374	954
282	375	951
283	376	949
284	377	947
285	378	945
286	379	943
287	380	941
288	381	939
289	382	937
290	384	935
291	385	933
292	385	931
293	386	928
294	387	926
295	388	924
296	389	921
297	390	919
298	391	917
299	392	914
300	393	913
301	394	910
302	395	909
303	396	907
304	397	905
305	398	903
306	399	900
307	399	898
308	400	896
309	401	893
310	402	891
311	403	889
312	404	887
313	405	884
314	405	882
315	406	880
316	407	878
317	408	877
318	410	875
319	411	873
320	412	872
321	413	870
322	414	868
323	415	865
324	415	863
325	416	861
326	417	859
327	418	857
328	419	855
329	420	853
330	421	851
331	421	848
332	422	847
333	424	845
334	425	843
335	426	842
336	426	840
337	427	837
338	428	835
339	429	834
340	430	832
341	431	830
342	432	828
343	433	826
344	434	824
345	435	822
346	435	820
347	436	818
348	437	816
349	438	814
350	439	812
351	440	811
352	441	809
353	442	807
354	443	805
355	444	803
356	445	802
357	446	800
358	447	798
359	448	796
360	448	794
361	449	792
362	450	790
363	451	789
364	452	787
365	453	785
366	454	784
367	455	782
368	456	781
369	457	779
370	458	777
371	459	775
372	460	774
373	461	772
374	462	770
375	463	768
376	464	766
377	465	765
378	465	763
379	466	761
380	468	760
381	469	758
382	470	757
383	471	755
384	472	754
385	472	752
386	473	750
387	474	749
388	475	747
389	476	745
390	477	743
391	478	742
392	479	740
393	480	738
394	481	737
395	482	735
396	483	734
397	484	732
398	485	731
399	486	729
400	487	727
401	488	726
402	489	724
403	489	722
404	490	721
405	491	719
406	492	717
407	493	716
408	494	714
409	495	712
410	496	711
411	497	709
412	498	708
413	499	707
414	500	705
415	501	704
416	502	702
417	503	701
418	504	699
419	505	698
420	506	696
421	507	695
422	508	693
423	509	691
424	510	690
425	511	688
426	512	687
427	513	685
428	514	684
429	515	683
430	516	681
431	517	680
432	518	678
433	519	677
434	520	675
435	521	674
436	522	672
437	523	671
438	524	669
439	525	668
440	526	666
441	527	665
442	528	664
443	529	662
444	530	661
445	531	659
446	532	658
447	533	656
448	534	655
449	534	653
450	535	652
451	536	650
452	537	648
453	538	647
454	539	645
455	540	644
456	541	643
457	542	641
458	543	640
459	544	639
460	545	638
461	546	636
462	547	634
463	548	633
464	549	631
465	550	630
466	551	628
467	551	627
468	552	625
469	553	624
470	554	622
471	555	621
472	556	620
473	557	618
474	558	617
475	559	616
476	560	614
477	561	613
478	562	611
479	563	610
480	564	608
481	565	607
482	565	605
483	566	604
484	567	602
485	568	601
486	569	600
487	570	598
488	571	597
489	572	596
490	573	594
491	574	593
492	576	592
493	577	591
494	577	589
495	578	588
496	579	586
497	580	585
498	581	583
499	582	582
500	583	580
501	584	579
502	585	578
503	586	576
504	587	575
505	588	574
506	589	572
507	590	571
508	591	570
509	592	568
510	592	567
511	593	565
512	594	564
513	595	563
514	596	561
515	597	560
516	598	558
517	599	557
518	600	556
519	601	555
520	602	553
521	603	552
522	604	551
523	605	549
524	606	548
525	607	547
526	608	545
527	609	544
528	610	543
529	611	542
530	612	540
531	613	539
532	614	538
533	615	536
534	616	535
535	617	534
536	618	533
537	619	532
538	620	530
539	621	529
540	623	528
541	624	527
542	624	525
543	625	524
544	626	523
545	627	521
546	628	520
547	629	518
548	630	517
549	630	516
550	631	514
551	632	513
552	633	512
553	634	510
554	635	509
555	636	507
556	636	506
557	637	505
558	638	503
559	639	502
560	640	500
561	640	499
562	641	497
563	642	496
564	643	495
565	643	493
566	644	492
567	645	491
568	646	489
569	647	488
570	648	486
571	649	485
572	649	484
573	650	482
574	651	481
575	652	480
576	653	478
577	653	477
578	654	475
579	655	474
580	656	473
581	657	471
582	657	470
583	658	469
584	659	467
585	660	466
586	661	465
587	662	463
588	662	462
589	663	461
590	664	459
591	665	458
592	666	457
593	666	455
594	667	454
595	668	453
596	669	451
597	670	450
598	671	449
599	671	447
600	672	446
601	673	445
602	674	444
603	675	442
604	676	441
605	677	440
606	677	438
607	678	437
608	679	436
609	680	434
610	680	433
611	681	432
612	682	430
613	683	429
614	684	428
615	684	426
616	685	425
617	686	424
618	687	423
619	688	421
620	688	420
621	689	419
622	690	417
623	691	416
624	692	415
625	693	414
626	693	412
627	694	411
628	695	410
629	696	408
630	697	407
631	697	406
632	698	405
633	699	403
634	700	402
635	701	401
636	701	400
637	702	398
638	703	397
639	704	396
640	705	394
641	705	393
642	706	392
643	707	391
644	708	389
645	709	388
646	709	387
647	710	386
648	711	384
649	712	383
650	713	382
651	714	381
652	714	379
653	715	378
654	716	377
655	717	376
656	718	374
657	719	373
658	719	372
659	720	371
660	721	370
661	722	368
662	723	367
663	724	366
664	725	365
665	725	364
666	726	362
667	727	361
668	728	360
669	729	359
670	730	358
671	730	356
672	731	355
673	732	354
674	733	353
675	734	351
676	735	350
677	736	349
678	736	348
679	737	347
680	738	345
681	739	344
682	740	343
683	741	342
684	741	341
685	742	339
686	743	338
687	744	337
688	745	336
689	746	335
690	746	333
691	747	332
692	748	331
693	749	330
694	750	329
695	751	328
696	752	326
697	753	325
698	753	324
699	754	323
700	755	322
701	756	321
702	757	319
703	757	318
704	758	317
705	759	316
706	760	315
707	761	314
708	762	312
709	763	311
710	763	310
711	764	309
712	765	308
713	766	306
714	767	305
715	767	304
716	768	303
717	769	302
718	770	301
719	771	299
720	772	298
721	773	297
722	773	296
723	774	295
724	775	294
725	776	293
726	777	291
727	778	290
728	778	289
729	779	288
730	780	287
731	781	286
732	782	285
733	783	283
734	784	282
735	784	281
736	785	280
737	786	279
738	787	278
739	788	276
740	788	275
741	789	274
742	790	273
743	791	272
744	792	271
745	793	270
746	793	268
747	795	267
748	795	266
749	796	265
750	797	264
751	798	263
752	799	262
753	800	261
754	800	259
755	801	258
756	802	257
757	803	256
758	804	255
759	805	254
760	806	253
761	806	252
762	807	250
763	808	249
764	809	248
765	810	247
766	811	246
767	812	245
768	813	244
769	813	243
770	814	242
771	815	240
772	816	239
773	817	238
774	818	237
775	818	236
776	819	235
777	820	234
778	821	233
779	822	231
780	823	230
781	824	229
782	825	228
783	825	227
784	826	226
785	827	225
786	828	224
787	829	223
788	829	221
789	830	220
790	831	219
791	832	218
792	833	217
793	833	216
794	834	215
795	835	214
796	836	213
797	837	211
798	838	210
799	838	209
800	839	208
801	840	207
802	841	206
803	842	205
804	842	204
805	843	203
806	844	201
807	845	200
808	846	199
809	846	198
810	847	197
811	848	196
812	849	195
813	850	194
814	851	193
815	851	192
816	852	191
817	853	189
818	854	188
819	855	187
820	856	186
821	857	185
822	858	184
823	858	183
824	859	182
825	860	181
826	861	180
827	862	179
828	862	178
829	863	176
830	864	175
831	865	174
832	866	173
833	866	172
834	867	171
835	868	170
836	869	169
837	870	168
838	871	167
839	871	166
840	872	165
841	873	163
842	874	162
843	875	161
844	876	160
845	876	159
846	877	158
847	878	157
848	879	156
849	880	155
850	880	154
851	881	153
852	882	152
853	883	151
854	884	149
855	885	148
856	886	147
857	886	146
858	887	145
859	888	144
860	889	143
861	890	142
862	891	141
863	892	140
864	893	139
865	894	138
866	895	137
867	896	136
868	897	135
869	898	134
870	899	133
871	900	132
872	901	131
873	902	130
874	903	129
875	903	127
876	904	126
877	905	125
878	906	124
879	907	123
880	907	122
881	908	121
882	909	120
883	910	119
884	911	118
885	912	117
886	913	116
887	913	115
888	914	114
889	915	113
890	916	112
891	917	111
892	918	110
893	919	108
894	919	107
895	920	106
896	921	105
897	922	104
898	923	103
899	924	102
900	925	101
901	926	100
902	927	99
903	928	98
904	929	97
905	930	96
906	931	95
907	932	94
908	932	93
909	933	92
910	934	91
911	935	90
912	936	89
913	936	88
914	937	87
915	938	86
916	939	85
917	940	83
918	941	82
919	942	81
920	943	80
921	943	79
922	944	78
923	945	77
924	946	76
925	947	75
926	948	74
927	948	73
928	949	72
929	950	71
930	951	70
931	952	69
932	953	68
933	953	67
934	954	66
935	955	65
936	956	64
937	957	63
938	957	62
939	958	61
940	959	60
941	960	59
942	961	58
943	962	57
944	962	56
945	963	55
946	964	53
947	965	52
948	966	51
949	966	50
950	967	49
951	968	48
952	969	47
953	970	46
954	971	45
955	971	44
956	972	43
957	973	42
958	974	41
959	975	40
960	975	39
961	976	38
962	977	37
963	978	36
964	979	35
965	980	34
966	980	33
967	981	32
968	982	31
969	983	30
970	984	29
971	985	28
972	985	27
973	986	26
974	987	25
975	988	24
976	989	23
977	990	22
978	991	21
979	992	20
980	992	19
981	993	18
982	994	17
983	995	16
984	996	15
985	997	14
986	997	13
987	998	12
988	999	11
989	1000	10
990	1001	9
991	1002	8
992	1003	7
993	1004	6
994	1005	5
995	1006	4
996	1006	3
997	1007	2
998	1008	1
999	1009	0
